full_name,image
Alan Kay,https://static.wikia.nocookie.net/bokunoheroacademia/images/d/d2/Alan_Kay.png/revision/latest/scale-to-width-down/226?cb=20220221200909
Bearhead,https://static.wikia.nocookie.net/bokunoheroacademia/images/b/b4/Bearhead_Portrait.png/revision/latest/scale-to-width-down/135?cb=20180627115116
Inasa Yoarashi,https://static.wikia.nocookie.net/bokunoheroacademia/images/b/bf/Inasa_Yoarashi_Anime_Portrait.png/revision/latest/scale-to-width-down/135?cb=20180709180406
Midnight,https://static.wikia.nocookie.net/bokunoheroacademia/images/1/1e/Midnight_Anime_Portrait.png/revision/latest/scale-to-width-down/135?cb=20200401121928
Teruo Hazukashi,https://static.wikia.nocookie.net/bokunoheroacademia/images/7/78/Teruo_Hazukashi_Portrait_%28Anime%29.png/revision/latest/scale-to-width-down/135?cb=20200328155703
Yellow,https://static.wikia.nocookie.net/bokunoheroacademia/images/a/ad/Yellow_Face.png/revision/latest/scale-to-width-down/135?cb=20180922150613
Nobu,https://static.wikia.nocookie.net/bokunoheroacademia/images/d/dd/Nobu_Portrait.png/revision/latest/scale-to-width-down/135?cb=20190326163435
Compass Kid,https://static.wikia.nocookie.net/bokunoheroacademia/images/c/c5/Compass_Kid_Portrait.png/revision/latest/scale-to-width-down/135?cb=20200522201106
Thirteen,https://static.wikia.nocookie.net/bokunoheroacademia/images/2/26/Thirteen_Anime_Portrait.png/revision/latest/scale-to-width-down/135?cb=20200401121447
Natsuo Todoroki,https://static.wikia.nocookie.net/bokunoheroacademia/images/2/2d/Natsuo_Todoroki_Portrait_%28Anime%29.png/revision/latest/scale-to-width-down/135?cb=20200405151308
Giran,https://static.wikia.nocookie.net/bokunoheroacademia/images/e/ef/Giran_Portrait.png/revision/latest/scale-to-width-down/135?cb=20161207020415
Number 6,https://static.wikia.nocookie.net/bokunoheroacademia/images/2/2c/Scarred_Man_Colored_Manga_Portrait.png/revision/latest/scale-to-width-down/135?cb=20220708203656
Nejire Hado,https://static.wikia.nocookie.net/bokunoheroacademia/images/5/57/Nejire_Hado_Anime_Portrait.png/revision/latest/scale-to-width-down/135?cb=20181226180105
Cementoss,https://static.wikia.nocookie.net/bokunoheroacademia/images/3/32/Cementoss_Anime_Portrait.png/revision/latest/scale-to-width-down/135?cb=20200401121847
Monika Kaniyashiki,https://static.wikia.nocookie.net/bokunoheroacademia/images/9/9c/Monika_Kaniyashiki_Portrait.png/revision/latest/scale-to-width-down/135?cb=20200725081635
Ragdoll,https://static.wikia.nocookie.net/bokunoheroacademia/images/b/b0/Ragdoll_Anime_Portrait.png/revision/latest/scale-to-width-down/135?cb=20200116230112
Death Arms,https://static.wikia.nocookie.net/bokunoheroacademia/images/5/53/Death_Arms_Anime_Portrait.png/revision/latest/scale-to-width-down/135?cb=20200321203846
Snatch,https://static.wikia.nocookie.net/bokunoheroacademia/images/5/53/Sajin_Higawara_Portrait_%28Anime%29.png/revision/latest/scale-to-width-down/135?cb=20200329131425
Yokumiru Mera,https://static.wikia.nocookie.net/bokunoheroacademia/images/3/3c/Yokumiru_Mera_Portrait.png/revision/latest/scale-to-width-down/135?cb=20200405164459
Crimson Riot,https://static.wikia.nocookie.net/bokunoheroacademia/images/5/5e/Crimson_Riot_Anime_Portrait.png/revision/latest/scale-to-width-down/135?cb=20180627191537
Yoroi Musha,https://static.wikia.nocookie.net/bokunoheroacademia/images/2/2a/Yoroi_Musha_Anime_Portrait.png/revision/latest/scale-to-width-down/135?cb=20200328155801
Camie Utsushimi,https://static.wikia.nocookie.net/bokunoheroacademia/images/b/b5/Camie_Utsushimi_Anime_Portrait.png/revision/latest/scale-to-width-down/135?cb=20180709180515
Overhaul,https://static.wikia.nocookie.net/bokunoheroacademia/images/d/d9/Overhaul_Anime_Portrait.png/revision/latest/scale-to-width-down/135?cb=20200519170230
